pair_id,split,structural_family,reference_path,search_path,gt_x,gt_y,dose_search,rotation_deg,extra_scale,crosses_mat_boundary,crosses_strip_boundary,periodicity_score,uniqueness_score,num_mats,pred_x,pred_y,error_px,confidence,ambiguity_ratio,ambiguous,runtime_s,ranking_mode
dev_strip_anchor_000,development,dev_strip_anchor,data/development/dev_strip_anchor_000_reference.png,data/development/dev_strip_anchor_000_search.png,793.3,664.5,220.0,0.0,1.0,True,True,0.4545454545454545,0.95,2.0,793.1554901003838,664.4950629770756,0.1445942090211061,0.9086195826530457,0.9832892146453708,False,3.775383600004716,classical
dev_strip_anchor_001,development,dev_strip_anchor,data/development/dev_strip_anchor_001_reference.png,data/development/dev_strip_anchor_001_search.png,809.4,903.8,220.0,0.0,1.0,True,True,0.9545454545454546,0.95,2.0,808.9431366883218,903.8176230490208,0.4572030811513795,0.8220371007919312,0.9469249669397674,False,3.7989653999975417,classical
dev_strip_anchor_002,development,dev_strip_anchor,data/development/dev_strip_anchor_002_reference.png,data/development/dev_strip_anchor_002_search.png,649.6,808.6,220.0,0.0,1.0,True,True,0.7045454545454546,0.95,2.0,649.2185593545437,808.6304875314236,0.3826570992134453,0.917244791984558,0.9771492461992196,False,3.8171484999911622,classical
dev_strip_anchor_003,development,dev_strip_anchor,data/development/dev_strip_anchor_003_reference.png,data/development/dev_strip_anchor_003_search.png,538.9,902.4,220.0,0.0,1.0,True,True,0.6590909090909091,0.95,2.0,538.5504685044289,902.3555608987808,0.3523451434507729,0.8727725744247437,0.9651906268067884,False,4.370640599998296,classical
dev_strip_anchor_004,development,dev_strip_anchor,data/development/dev_strip_anchor_004_reference.png,data/development/dev_strip_anchor_004_search.png,401.4,519.5,220.0,0.0,1.0,True,True,0.5227272727272727,0.95,2.0,401.5583502650261,519.491407841444,0.1585832009466706,0.9078587293624878,0.9860255911790308,False,4.9823945999960415,classical
dev_strip_anchor_005,development,dev_strip_anchor,data/development/dev_strip_anchor_005_reference.png,data/development/dev_strip_anchor_005_search.png,792.2,266.5,220.0,0.0,1.0,True,True,0.5151515151515151,1.0,4.0,792.4265385568142,266.4824032187462,0.2272209594952272,0.8757390975952148,0.7151602345256725,False,4.479882699990412,classical
dev_strip_anchor_006,development,dev_strip_anchor,data/development/dev_strip_anchor_006_reference.png,data/development/dev_strip_anchor_006_search.png,257.9,513.7,220.0,0.0,1.0,True,True,0.2045454545454545,1.0,4.0,257.915404394269,513.7284833788872,0.0323820665743099,0.9116966128349304,0.7584622140648263,False,4.022110799996881,classical
dev_strip_anchor_007,development,dev_strip_anchor,data/development/dev_strip_anchor_007_reference.png,data/development/dev_strip_anchor_007_search.png,513.1,536.9,220.0,0.0,1.0,True,True,0.5795454545454546,1.0,4.0,513.1321869194508,536.9031752869487,0.0323431635888459,0.8610128164291382,0.8218030406638848,False,3.755646299992805,classical
dev_single_mat_000,development,dev_single_mat,data/development/dev_single_mat_000_reference.png,data/development/dev_single_mat_000_search.png,363.1,625.1,220.0,0.0,1.0,False,False,0.9090909090909092,0.0,1.0,363.0449848398566,625.1167841479182,0.0575184793518032,0.832006573677063,0.9807368193464832,False,4.291821299993899,classical
dev_single_mat_001,development,dev_single_mat,data/development/dev_single_mat_001_reference.png,data/development/dev_single_mat_001_search.png,612.4,691.1,220.0,0.0,1.0,False,False,1.0,0.0,1.0,612.118662416935,691.0850701481104,0.2817334487104928,0.8064009547233582,0.9858663096896682,False,4.03778980000061,classical
